Item,Rater,Examinee1,Examinee2,Examinee3,Examinee4,Examinee5,Examinee6,Examinee7,Examinee8,Examinee9,Examinee10,Examinee11,Examinee12,Examinee13,Examinee14,Examinee15,Examinee16,Examinee17,Examinee18,Examinee19,Examinee20,Examinee21,Examinee22,Examinee23,Examinee24,Examinee25,Examinee26,Examinee27,Examinee28,Examinee29,Examinee30
5,5,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2
6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,2,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
6,3,,,,,,,,,,,3,3,2,3,3,3,3,2,2,2,,,,,,,,,,
6,4,,,,,,,,,,,,,,,,,,,,,1,2,3,2,2,2,2,2,2,2
6,5,2,2,2,2,1,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,2,3,2,3,2,2,2
7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
7,3,,,,,,,,,,,3,3,2,2,2,3,2,2,2,2,,,,,,,,,,
7,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,3,2,2,2
7,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,1,0,0,1,1,0,1,1,1,1,0,1,2,1,1,1,0,1,0,0,0,1,2,2,0,1,0,1,1,0,1
8,2,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,
8,3,,,,,,,,,,,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,
8,4,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,1,1,1,1
8,5,1,0,1,1,0,1,1,1,1,0,1,2,1,1,1,1,1,0,0,0,1,1,2,0,1,1,1,1,0,1
9,1,0,0,3,3,0,2,3,2,3,0,3,3,3,3,3,3,3,3,0,0,3,2,1,0,3,3,3,0,3,1
9,2,2,0,2,2,0,1,3,2,3,0,,,,,,,,,,,,,,,,,,,,
9,3,,,,,,,,,,,3,3,3,3,3,3,3,3,0,0,,,,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,,3,3,1,0,3,3,3,0,3,0
9,5,3,2,2,3,0,2,3,2,3,0,3,3,3,3,3,3,3,3,0,0,3,3,1,0,3,3,3,0,3,1
10,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,0,2,1,2,1,0,2,2,1,1,2,1,1,1
10,2,2,1,2,2,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,
10,3,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,
10,4,,,,,,,,,,,,,,,,,,,,,1,2,1,2,3,2,2,2,1,2
10,5,2,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1,0,1,1,2,0,0,1,2,1,1,1,1,1,1
11,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
11,2,2,2,2,2,2,2,2,0,0,2,2,,,,,,,,,,,,,,,,,,,
11,3,,,,,,,,,,,,0,1,2,1,2,0,2,2,2,,,,,,,,,,
11,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,0,2,1,2,2
11,5,2,0,0,0,0,0,0,2,0,0,1,2,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2
12,1,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,2,0,2,2,2,2,2,2,2,0
12,2,0,2,0,2,2,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,
12,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,0,,,,,,,,,,
12,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,0
12,5,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0
13,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0
13,2,2,2,2,2,2,2,2,0,0,2,,,,,,,,,,,,,,,,,,,,
13,3,,,,,,,,,,,2,0,2,2,2,2,0,2,2,0,,,,,,,,,,
13,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2
13,5,2,2,2,2,1,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0
14,1,0,0,2,2,2,0,2,0,2,2,2,2,2,3,2,2,2,2,0,2,2,2,0,2,2,2,0,0,0,2
14,2,2,2,2,2,2,0,2,0,2,2,,,,,,,,,,,,,,,,,,,,
14,3,,,,,,,,,,,2,2,2,1,2,2,0,2,0,2,,,,,,,,,,
14,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,3,2,2,2,2
14,5,2,1,2,2,2,0,2,0,2,2,2,2,2,1,2,2,2,2,0,2,2,2,0,2,2,2,0,0,0,2
15,1,3,3,3,2,3,3,3,1,2,2,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15,2,3,3,3,3,3,1,3,1,3,3,,,,,,,,,,,,,,,,,,,,
15,3,,,,,,,,,,,0,3,3,3,3,3,3,3,3,3,,,,,,,,,,
15,4,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3
15,5,3,3,3,3,3,1,2,1,2,3,0,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3
16,1,2,2,2,3,3,3,3,2,3,2,2,3,3,3,2,3,2,2,3,1,2,2,3,3,3,3,3,2,3,2
16,2,2,2,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,
16,3,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,
16,4,,,,,,,,,,,,,,,,,,,,,3,3,2,2,3,3,3,2,3,1
16,5,3,2,2,2,3,2,3,3,3,2,2,2,3,3,3,3,2,2,3,1,2,3,3,3,3,3,3,2,3,2
17,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,2
17,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
17,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,
17,4,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,3,2,3,2
17,5,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,2
18,1,2,2,0,2,2,2,2,0,0,1,2,0,2,2,2,2,1,0,0,1,2,2,0,2,2,0,2,2,3,0
18,2,2,2,0,2,2,1,2,1,0,2,,,,,,,,,,,,,,,,,,,,
18,3,,,,,,,,,,,2,2,2,1,2,2,1,0,0,1,,,,,,,,,,
18,4,,,,,,,,,,,,,,,,,,,,,3,3,0,2,3,0,3,2,3,0
18,5,2,2,0,2,2,2,2,0,0,2,2,0,2,2,2,2,1,0,0,1,2,2,0,2,2,0,2,2,2,0
19,1,2,2,1,2,2,1,1,0,0,2,1,2,2,2,0,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2
19,2,2,2,2,2,2,2,2,0,0,2,,,,,,,,,,,,,,,,,,,,
19,3,,,,,,,,,,,2,2,2,2,0,2,2,2,2,2,,,,,,,,,,
19,4,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,2,3,1,3,1
19,5,2,2,2,2,2,2,2,0,0,2,1,2,2,2,0,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2
20,1,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0
20,2,0,2,2,2,1,0,2,2,0,2,,,,,,,,,,,,,,,,,,,,
20,3,,,,,,,,,,,2,2,2,2,0,2,1,2,0,2,,,,,,,,,,
20,4,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,0,2,2,1,0
20,5,0,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,0,2,2,2,2,0
21,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
21,3,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,,,,,,,,,,
21,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2
21,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
22,1,2,2,2,0,2,2,2,2,0,0,1,0,2,2,2,3,2,2,2,0,0,2,2,2,0,0,2,1,2,0
22,2,0,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,
22,3,,,,,,,,,,,2,3,2,3,3,2,2,2,1,2,,,,,,,,,,
22,4,,,,,,,,,,,,,,,,,,,,,0,2,2,3,0,2,2,2,2,0
22,5,0,2,2,1,2,2,2,2,0,0,2,0,2,2,2,3,2,2,2,0,0,2,2,2,0,0,2,1,2,0
23,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1
23,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,
23,3,,,,,,,,,,,3,3,2,3,3,3,1,3,1,1,,,,,,,,,,
23,4,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,2,3,2,3,1
23,5,2,1,2,2,1,1,2,1,1,2,1,3,2,2,3,2,1,1,1,2,1,2,1,2,2,2,2,2,,1
24,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,2,1,1,1,2,1,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,
24,3,,,,,,,,,,,3,3,3,3,3,3,1,3,1,1,,,,,,,,,,
24,4,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,1,2,1
24,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
25,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
25,2,0,2,2,2,2,2,1,0,2,2,,,,,,,,,,,,,,,,,,,,
25,3,,,,,,,,,,,2,3,3,3,3,3,1,3,1,2,,,,,,,,,,
25,4,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,3,1,3,1
25,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,3,1,2,2,3,2,1,2,2,3,2,2,2
26,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,
26,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,
26,4,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2
26,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,2,2,2,2,2,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,
27,3,,,,,,,,,,,3,3,2,2,2,2,2,1,2,2,,,,,,,,,,
27,4,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,2
27,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2
28,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,2,2,3,2
28,2,2,2,2,2,2,1,1,0,2,2,,,,,,,,,,,,,,,,,,,,
28,3,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,
28,4,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,1,2,1
28,5,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,3,1
29,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,1,2,0,2,2,,,,,,,,,,,,,,,,,,,,
29,3,,,,,,,,,,,2,2,2,2,2,2,2,2,0,0,,,,,,,,,,
29,4,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1
29,5,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
30,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
30,2,2,2,2,2,2,1,1,0,2,2,,,,,,,,,,,,,,,,,,,,
30,3,,,,,,,,,,,2,2,2,2,2,2,2,2,1,1,,,,,,,,,,
30,4,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,1,2,0
30,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
